Name,Overall,Potential,Age,Club,Nationality,Positions,ValueEUR,WageEUR,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,AgeCategory,RatingCategory
F. Midtsjø,77,77,28,Galatasaray SK,Norway,CM,10500000,62000,76,63,76,77,72,78,Adult,Good Player
J. Svensson,77,77,29,Adana Demirspor,Norway,RB,9500000,22000,81,60,70,75,72,81,Adult,Good Player
Rodrigo,77,77,31,Leeds United,Spain,"CAM,ST,CM",8500000,40000,77,77,76,78,45,69,Senior,Good Player
D. Burn,77,77,30,Newcastle United,England,"CB,LB",8500000,69000,47,33,65,63,77,80,Senior,Good Player
L. Augustinsson,77,77,28,Aston Villa,Sweden,"LB,LM",9500000,26000,64,62,77,74,74,70,Adult,Good Player
R. Bazoer,77,80,25,AZ Alkmaar,Netherlands,"CM,CDM,CB",14000000,12000,71,68,77,78,73,77,Adult,Good Player
I. Toney,77,79,26,Brentford,England,ST,13000000,51000,78,77,64,73,49,82,Adult,Good Player
A. Djiku,77,79,27,RC Strasbourg Alsace,Ghana,CB,11000000,25000,69,42,66,69,76,81,Adult,Good Player
I. Diop,77,82,25,Fulham,France,CB,14000000,48000,62,36,52,56,78,78,Adult,Good Player
J. Harrison,77,80,25,Leeds United,England,"LM,RM",14000000,38000,80,72,71,79,49,69,Adult,Good Player
D. James,77,82,24,Fulham,Wales,"RM,ST,LM",16000000,35000,95,70,69,76,47,68,Adult,Good Player
K. Tsimikas,77,80,26,Liverpool,Greece,"LB,LWB",12500000,80000,80,57,72,75,72,75,Adult,Good Player
Isi Palazón,77,77,27,Rayo Vallecano,Spain,"RM,LM,CAM",11000000,22000,84,73,72,80,39,63,Adult,Good Player
R. Doan,77,83,24,Sport-Club Freiburg,Japan,"RM,CAM",16500000,25000,79,71,73,81,40,59,Adult,Good Player
A. Vega,77,83,24,Free agent,Mexico,"LW,ST,LM",0,0,80,75,75,80,32,74,Adult,Good Player
M. Turner,77,80,28,Arsenal,United States,GK,9500000,56000,76,75,67,77,38,79,Adult,Good Player
R. Kristensen,77,82,24,Leeds United,Denmark,RB,15000000,31000,80,67,71,72,73,82,Adult,Good Player
S. Villa,77,78,26,Boca Juniors,Colombia,"LW,RW",12500000,20000,94,73,69,78,32,67,Adult,Good Player
Bruno Viana,77,80,27,Wuhan FC,Brazil,CB,12000000,15000,67,42,56,57,78,81,Adult,Good Player
Gedson Fernandes,77,81,23,Beşiktaş JK,Portugal,CM,15000000,42000,79,74,75,78,71,75,Adult,Good Player
Iago,77,80,25,FC Augsburg,Brazil,"LWB,LM",13000000,25000,84,58,69,74,72,71,Adult,Good Player
Z. Steffen,77,79,27,Middlesbrough,United States,GK,9500000,73000,79,74,75,82,53,72,Adult,Good Player
Domingos Duarte,77,80,27,Getafe CF,Portugal,"CB,LB",12000000,26000,52,35,58,53,79,78,Adult,Good Player
W. Faes,77,82,24,Leicester City,Belgium,CB,14500000,56000,59,38,55,58,78,77,Adult,Good Player
I. Sarr,77,83,24,Watford,Senegal,"RM,RW",16500000,39000,94,76,67,80,22,67,Adult,Good Player
Brais Méndez,77,80,25,Real Sociedad,Spain,"RM,CM",14000000,30000,69,74,77,75,56,64,Adult,Good Player
G. Maggiore,77,81,24,US Salernitana 1919,Italy,"CM,CDM",15000000,25000,74,62,71,76,72,72,Adult,Good Player
S. Lukić,77,80,25,Torino F.C.,Serbia,CM,14000000,40000,60,68,77,78,69,72,Adult,Good Player
Davidson,77,77,31,Wuhan Three Towns,Brazil,"LM,ST",8500000,21000,81,75,71,80,41,74,Senior,Good Player
C. McGregor,77,77,29,Celtic,Scotland,"CDM,CM",9000000,50000,78,73,75,78,70,75,Adult,Good Player
D. Alli,77,80,26,Beşiktaş JK,England,"CAM,CM",14000000,40000,65,77,75,78,64,71,Adult,Good Player
Bruma,77,77,27,Fenerbahçe SK,Portugal,"LW,RW,CAM",11000000,21000,90,71,69,83,32,63,Adult,Good Player
S. Boufal,77,77,28,Angers SCO,Morocco,"CF,LM,ST",11000000,28000,79,71,75,84,30,56,Adult,Good Player
D. Lazović,77,77,31,Hellas Verona,Serbia,LM,8500000,28000,85,69,74,78,65,63,Senior,Good Player
P. Max,77,77,28,PSV,Germany,LB,9500000,18000,78,65,77,75,70,74,Adult,Good Player
F. Lejeune,77,77,31,Rayo Vallecano,France,CB,7000000,13000,52,57,62,64,77,72,Senior,Good Player
R. Gikiewicz,77,77,34,FC Augsburg,Poland,GK,1800000,21000,79,72,64,81,28,76,Senior,Good Player
Hugo Mallo,77,77,31,RC Celta de Vigo,Spain,RB,7500000,22000,64,39,68,67,75,73,Senior,Good Player
B. Yılmaz,77,77,36,Fortuna Sittard,Turkey,ST,3600000,14000,74,82,68,70,34,77,Senior,Good Player
M. Casco,77,77,34,River Plate,Argentina,"LB,RB,CM",3900000,17000,83,68,76,80,69,79,Senior,Good Player
S. Widmer,77,77,29,1. FSV Mainz 05,Switzerland,"RWB,RB,CB",9500000,27000,78,62,72,74,72,79,Adult,Good Player
Ander Capa,77,77,30,Athletic Club de Bilbao,Spain,RB,9000000,25000,79,64,74,74,73,85,Senior,Good Player
I. Bebou,77,77,28,TSG Hoffenheim,Togo,"ST,RM,RW",11000000,39000,89,75,68,79,34,63,Adult,Good Player
Danilo,77,77,30,VfL Bochum 1848,Brazil,LB,9000000,24000,68,59,67,77,76,70,Senior,Good Player
J. Beauguel,77,77,30,Al Wehda,France,ST,10500000,30000,68,75,53,71,32,80,Senior,Good Player
M. Simon,77,77,26,FC Nantes,Nigeria,"LM,ST,LW",11500000,27000,90,70,69,81,33,65,Adult,Good Player
A. Blake,77,77,31,Philadelphia Union,Jamaica,GK,5500000,7000,79,70,74,81,45,78,Senior,Good Player
M. Targett,77,78,26,Newcastle United,England,LB,11500000,69000,69,47,72,72,74,69,Adult,Good Player
M. Vecino,77,77,30,Lazio,Uruguay,"CM,CDM",10000000,45000,62,71,74,76,75,76,Senior,Good Player
J. Denayer,77,79,27,Free agent,Belgium,CB,0,0,71,43,66,68,78,77,Adult,Good Player
Y. Mina,77,79,27,Everton,Colombia,CB,11000000,37000,37,54,59,58,78,77,Adult,Good Player
D. Gray,77,78,26,Everton,England,"LM,LW,CAM",12500000,40000,86,76,69,81,37,58,Adult,Good Player
A. Živković,77,78,25,PAOK,Serbia,"RW,LW",12500000,2000,80,73,74,81,55,61,Adult,Good Player
F. Honorat,77,78,25,Stade Brestois 29,France,"LM,RM,ST",12500000,24000,81,75,71,77,47,61,Adult,Good Player
M. Oršić,77,77,29,Dinamo Zagreb,Croatia,"LW,LM,ST",10500000,1000,88,80,71,75,56,61,Adult,Good Player
N. Elvedi,77,81,25,Borussia Mönchengladbach,Switzerland,CB,13000000,25000,70,39,64,68,78,78,Adult,Good Player
L. Boyé,77,80,26,Elche CF,Argentina,ST,14000000,23000,70,78,64,78,49,80,Adult,Good Player
B. Embolo,77,80,25,AS Monaco,Switzerland,"ST,CAM",14000000,49000,84,75,70,74,51,82,Adult,Good Player
M. Friedrich,77,79,26,Borussia Mönchengladbach,Germany,CB,11500000,26000,63,41,57,53,79,76,Adult,Good Player
Dani Ceballos,77,80,25,Real Madrid CF,Spain,"CM,CDM",14000000,110000,58,68,77,82,66,66,Adult,Good Player
R. Aguilar,77,77,29,AS Monaco,France,RB,9500000,45000,73,53,71,75,73,76,Adult,Good Player
S. Lainer,77,77,29,Borussia Mönchengladbach,Austria,RB,9500000,27000,74,63,67,70,73,80,Adult,Good Player
Pedro Chirivella,77,80,25,FC Nantes,Spain,"CDM,CM",12500000,24000,59,54,73,74,70,70,Adult,Good Player
M. Schwäbe,77,80,27,1. FC Köln,Germany,GK,10500000,21000,77,73,78,80,47,75,Adult,Good Player
Dyego Sousa,77,77,32,Unión Deportiva Almería,Portugal,ST,8500000,29000,57,79,62,74,30,84,Senior,Good Player
J. Andersen,77,80,26,Crystal Palace,Denmark,CB,12000000,48000,52,50,68,64,77,80,Adult,Good Player
Pepe Reina,77,77,39,Villarreal CF,Spain,GK,1200000,14000,75,77,79,76,45,79,Senior,Good Player
Nani,77,77,35,Melbourne Victory,Portugal,"LM,RM",4300000,9000,69,75,79,80,37,66,Senior,Good Player
G. Pezzella,77,77,31,Real Betis Balompié,Argentina,CB,7000000,22000,50,49,49,56,79,71,Senior,Good Player
Negredo,77,77,36,Cádiz CF,Spain,ST,3600000,25000,53,80,64,70,36,76,Senior,Good Player
R. Soriano,77,77,31,Bologna,Italy,"CAM,CM,CF",8500000,33000,68,73,78,79,67,71,Senior,Good Player
Aitor,77,77,31,CA Osasuna,Spain,GK,5500000,21000,78,74,66,80,56,76,Senior,Good Player
C. Trimmel,77,77,35,1. FC Union Berlin,Austria,"RWB,RM,RB",3200000,21000,72,65,73,68,74,80,Senior,Good Player
L. Rodríguez,77,77,37,Club Atlético Colón,Argentina,"ST,CF,CAM",3600000,13000,67,79,76,83,43,70,Senior,Good Player
S. El Shaarawy,77,77,29,Roma,Italy,"LW,LM",10500000,63000,86,74,74,78,46,61,Adult,Good Player
P. Groß,77,77,31,Brighton & Hove Albion,Germany,"CM,RM",8500000,60000,50,74,81,75,58,72,Senior,Good Player
Illarramendi,77,77,32,Real Sociedad,Spain,"CM,CDM",8500000,31000,42,69,76,76,75,67,Senior,Good Player
De Marcos,77,77,33,Athletic Club de Bilbao,Spain,RB,5500000,25000,78,64,73,72,72,76,Senior,Good Player
Fidel,77,77,32,Elche CF,Spain,"LM,CM,LWB",8500000,22000,72,72,77,75,54,64,Senior,Good Player
J. Shelvey,77,77,30,Newcastle United,England,"CM,CDM",10000000,76000,40,71,80,72,62,74,Senior,Good Player
G. Bou,77,77,32,New England Revolution,Argentina,"ST,CF",8500000,11000,76,79,69,76,33,71,Senior,Good Player
Rochina,77,77,31,Granada CF,Spain,"RM,CM,LM",8500000,13000,68,77,78,80,54,66,Senior,Good Player
M. Suárez,77,77,34,River Plate,Argentina,"ST,LW",5000000,20000,75,76,75,83,47,69,Senior,Good Player
A. Dzyuba,77,77,33,Adana Demirspor,Russia,ST,6500000,25000,63,77,69,69,29,84,Senior,Good Player
C. Kouyaté,77,77,32,Nottingham Forest,Senegal,"CDM,CB,CM",7000000,53000,60,64,63,69,77,84,Senior,Good Player
Montoro,77,77,34,Real Oviedo,Spain,"CDM,CM,CAM",3600000,11000,38,65,72,70,75,68,Senior,Good Player
M. Balotelli,77,77,31,FC Sion,Italy,ST,9000000,30000,66,81,72,76,25,78,Senior,Good Player
C. Stuani,77,77,35,Girona FC,Uruguay,ST,4500000,22000,67,79,69,70,48,84,Senior,Good Player
M. Sissoko,77,77,32,FC Nantes,France,"CDM,CM",7000000,25000,70,61,72,75,74,86,Senior,Good Player
D. Godín,77,77,36,Vélez Sarsfield,Uruguay,CB,1900000,11000,54,48,62,61,76,77,Senior,Good Player
Sidnei,77,77,32,Unión Deportiva Las Palmas,Brazil,CB,7000000,11000,68,56,63,63,76,82,Senior,Good Player
S. Jovetić,77,77,32,Hertha BSC,Montenegro,"ST,CAM",8500000,34000,62,79,76,79,35,60,Senior,Good Player
Willian,77,77,33,Fulham,Brazil,"RM,RW,LW",6500000,55000,75,76,77,80,49,53,Senior,Good Player
K. Gameiro,77,77,35,RC Strasbourg Alsace,France,ST,4500000,22000,78,77,73,75,41,66,Senior,Good Player
A. Guardado,77,77,35,Real Betis Balompié,Mexico,CDM,3000000,16000,61,68,79,79,71,68,Senior,Good Player
S. Sirigu,77,77,35,Napoli,Italy,GK,1200000,23000,75,73,73,75,46,79,Senior,Good Player
Jorge Molina,77,77,40,Granada CF,Spain,ST,0,10000,33,82,67,67,41,70,Senior,Good Player
U. Sadiq,77,82,25,Real Sociedad,Nigeria,ST,15500000,33000,84,76,60,72,30,76,Adult,Good Player
V. Rosier,77,80,25,Beşiktaş JK,France,"RB,RWB",13000000,42000,84,52,65,77,72,75,Adult,Good Player
T. Awoniyi,77,80,24,Nottingham Forest,Nigeria,ST,14500000,56000,83,76,59,70,32,80,Adult,Good Player
K. Thuram,77,84,21,OGC Nice,France,"CM,CDM",21500000,30000,74,69,74,77,75,77,Young,Good Player
Adrià Pedrosa,77,83,24,RCD Espanyol de Barcelona,Spain,LB,15500000,16000,90,60,69,78,70,73,Adult,Good Player
Arthur Cabral,77,83,24,Fiorentina,Brazil,ST,17000000,47000,73,77,63,73,31,78,Adult,Good Player
A. Hložek,77,87,19,Bayer 04 Leverkusen,Czech Republic,"CAM,LM,ST",23000000,27000,78,75,72,77,31,79,Young,Good Player
Alberto Moreno,77,77,29,Villarreal CF,Spain,"LB,LM",9500000,30000,81,69,72,77,70,69,Adult,Good Player
M. Camara,77,85,22,AS Monaco,Mali,"CDM,CM",22500000,37000,82,58,68,77,72,77,Young,Good Player
Bryan Gil,77,86,21,Tottenham Hotspur,Spain,"LM,RM",23500000,56000,77,69,74,82,31,35,Young,Good Player
D. Hancko,77,85,24,Feyenoord,Slovakia,"CB,LB",22000000,10000,78,61,69,70,77,79,Adult,Good Player
G. Plata,77,86,21,Real Valladolid CF,Ecuador,"RM,RW",23500000,18000,88,69,70,82,43,64,Young,Good Player
Tuta,77,82,22,Eintracht Frankfurt,Brazil,CB,14500000,23000,70,49,65,70,77,76,Young,Good Player
Unai Vencedor,77,84,21,Athletic Club de Bilbao,Spain,"CM,CDM",21500000,20000,62,70,75,76,74,74,Young,Good Player
M. Kilman,77,83,25,Wolverhampton Wanderers,England,CB,14500000,62000,61,42,63,63,78,78,Adult,Good Player
J. Maas,77,77,28,AFC Richmond,Netherlands,CB,9000000,45000,70,43,53,67,77,80,Adult,Good Player
R. Montlaur,77,77,27,AFC Richmond,France,"CDM,CM",10000000,43000,79,69,77,78,73,70,Adult,Good Player
S. Dest,77,85,21,AC Milan,United States,"RB,RM,LB",22500000,71000,86,59,74,81,69,66,Young,Good Player
J. Kuchta,77,80,25,AC Sparta Praha,Czech Republic,ST,14000000,1000,79,75,65,74,35,82,Adult,Good Player
Fábio Vieira,77,87,22,Arsenal,Portugal,"CAM,RM",23500000,62000,75,71,77,77,40,52,Young,Good Player
N. Madueke,77,86,20,PSV,England,RW,23000000,16000,90,71,68,82,36,62,Young,Good Player
M. Ugarte,77,85,21,Sporting CP,Uruguay,"CM,CDM",23500000,11000,72,63,71,77,73,76,Young,Good Player
Z. Feddal,77,77,32,Real Valladolid CF,Morocco,CB,7000000,22000,60,50,61,60,78,77,Senior,Good Player
M. Livaja,77,77,28,Hajduk Split,Croatia,"CF,ST,LW",11000000,1000,78,77,71,79,38,81,Adult,Good Player
G. Reyna,77,86,19,Borussia Dortmund,United States,"CAM,RM,LM",23000000,24000,78,71,74,82,36,71,Young,Good Player
J. Teze,77,84,22,PSV,Netherlands,"CB,RB",20000000,15000,81,48,65,68,77,79,Young,Good Player
Y. Poulsen,77,77,28,RB Leipzig,Denmark,ST,11000000,53000,78,71,67,74,56,82,Adult,Good Player
Galeno,77,81,24,FC Porto,Brazil,LM,15000000,13000,90,72,66,82,32,66,Adult,Good Player
B. Badiashile,77,85,21,AS Monaco,France,CB,22000000,31000,61,47,67,60,78,76,Young,Good Player
M. Barrow,77,83,23,Bologna,Gambia,"CF,ST,LW",17000000,31000,84,75,69,78,31,63,Adult,Good Player
P. Daka,77,83,23,Leicester City,Zambia,ST,17000000,68000,90,78,60,75,24,70,Adult,Good Player
L. Geertruida,77,85,21,Feyenoord,Netherlands,"RB,CB",22500000,8000,80,52,68,73,76,77,Young,Good Player
Gorosabel,77,79,25,Real Sociedad,Spain,RB,12000000,27000,75,46,71,72,75,67,Adult,Good Player
O. Skipp,77,84,21,Tottenham Hotspur,England,"CDM,CM",20000000,49000,65,47,68,71,75,71,Young,Good Player
M. Olivera,77,83,24,Napoli,Uruguay,"LB,LWB",15500000,37000,74,50,66,71,74,76,Adult,Good Player
D. Frattesi,77,86,22,U.S. Sassuolo Calcio,Italy,"CM,CDM",23500000,29000,79,69,76,80,65,69,Young,Good Player
M. Pessina,77,80,25,AC Monza,Italy,"CAM,CM,CF",14000000,43000,72,71,75,77,71,71,Adult,Good Player
Pepê,77,80,25,FC Porto,Brazil,"LM,RM",14000000,14000,85,66,68,80,32,53,Adult,Good Player
Eric García,77,84,21,FC Barcelona,Spain,CB,20000000,71000,62,44,71,68,78,71,Young,Good Player
D. Zagadou,77,82,23,VfB Stuttgart,France,CB,14500000,21000,58,34,61,51,78,80,Adult,Good Player
M. Demiral,77,82,24,Atalanta,Turkey,CB,14500000,35000,73,39,47,60,79,80,Adult,Good Player
V. Castellanos,77,82,23,Girona FC,Argentina,ST,16000000,10000,78,77,68,73,41,76,Adult,Good Player
De Frutos,77,80,25,Levante Unión Deportiva,Spain,"RM,LM",14000000,14000,82,70,74,78,41,61,Adult,Good Player
M. Lacroix,77,86,22,VfL Wolfsburg,France,CB,22000000,34000,87,33,55,67,78,77,Young,Good Player
D. Undav,77,80,25,Brighton & Hove Albion,Germany,ST,14000000,63000,68,80,71,75,32,76,Adult,Good Player
A. Lookman,77,81,24,Atalanta,England,"LM,RM",15000000,39000,85,73,68,82,29,60,Adult,Good Player
M. Shaparenko,77,85,23,Dynamo Kyiv,Ukraine,"CM,CAM",23500000,1000,77,72,76,78,65,68,Adult,Good Player
M. Salisu,77,85,23,Southampton,Ghana,CB,22000000,41000,69,36,51,55,79,80,Adult,Good Player
J. Ferri,77,77,30,Montpellier Hérault SC,France,"CDM,CM",9000000,23000,57,65,76,74,70,74,Senior,Good Player
Willian Arão,77,77,30,Fenerbahçe SK,Brazil,"CDM,CM",9000000,55000,73,63,66,69,76,78,Senior,Good Player
Hugo Duro,77,84,22,Valencia CF,Spain,"ST,LM",21500000,32000,75,76,67,76,44,67,Young,Good Player
Leander Baia,77,77,34,Clube Atlético Mineiro,Brazil,"RB,RM",3900000,32000,76,48,69,75,74,70,Senior,Good Player
M. Marega,77,77,31,Al Hilal,Mali,"ST,RW",9000000,42000,89,76,65,68,39,89,Senior,Good Player
R. Holding,77,79,26,Arsenal,England,CB,11500000,65000,54,34,61,66,78,73,Adult,Good Player
B. Henrichs,77,80,25,RB Leipzig,Germany,"RWB,RM,CM",13000000,41000,71,53,72,76,74,70,Adult,Good Player
K. Dolberg,77,81,24,Sevilla FC,Denmark,ST,15500000,39000,71,80,67,76,30,68,Adult,Good Player
Robert Sánchez,77,83,24,Brighton & Hove Albion,Spain,GK,13500000,37000,78,75,71,80,45,77,Adult,Good Player
R. Krunić,77,77,28,AC Milan,Bosnia and Herzegovina,"CM,CAM",10500000,58000,67,73,76,77,72,72,Adult,Good Player
A. Disasi,77,82,24,AS Monaco,France,CB,14500000,37000,50,28,51,55,77,82,Adult,Good Player
C. Montes,77,82,25,Free agent,Mexico,CB,0,0,62,44,63,65,78,78,Adult,Good Player
S. Serdar,77,81,25,Hertha BSC,Germany,"CM,CDM,CAM",14500000,30000,67,71,71,81,73,79,Adult,Good Player
Enzo Chissano,77,77,30,Palmeiras,Brazil,"LB,RB,CB",9000000,34000,79,62,71,70,74,69,Senior,Good Player
A. Fulgini,77,80,25,1. FSV Mainz 05,France,"CM,CAM,CF",14000000,27000,73,70,76,79,69,73,Adult,Good Player
Claudio Coíntra,77,77,26,Palmeiras,Brazil,"CAM,CF",11500000,38000,79,73,76,78,27,60,Adult,Good Player
Wagner Laranjo,77,77,38,Palmeiras,Brazil,"CDM,CM",2100000,25000,67,72,75,73,74,76,Senior,Good Player
Andeson Trigo,77,77,34,Fluminense,Brazil,"LB,LM,CAM",3900000,23000,82,63,75,77,71,64,Senior,Good Player
Jadsinho Mei,77,77,26,Flamengo,Brazil,"CDM,CM",10000000,34000,58,61,65,58,72,79,Adult,Good Player
Rodrigo Vuarte,77,77,30,Clube Atlético Mineiro,Brazil,CDM,9000000,32000,65,65,70,63,76,77,Senior,Good Player
Victorio Jabim,77,77,26,Palmeiras,Brazil,"RB,RM",10500000,34000,79,54,71,73,75,63,Adult,Good Player
Vieirundinho,77,77,34,Santos,Brazil,CB,3400000,26000,59,39,53,57,80,81,Senior,Good Player
Murildo Kauê,77,77,22,Palmeiras,Brazil,LM,12500000,33000,81,63,72,75,37,69,Young,Good Player
Sidney Pessinho,77,77,30,Internacional,Brazil,"CDM,CM",9000000,26000,69,62,74,69,76,80,Senior,Good Player
Gelson Martins,77,77,27,AS Monaco,Portugal,"RM,LM",11000000,47000,90,70,69,81,51,59,Adult,Good Player
Vitor Hugo,77,77,31,Trabzonspor,Brazil,CB,7000000,33000,66,33,45,50,79,80,Senior,Good Player
P. Mantalos,77,77,30,AEK Athens,Greece,"CAM,LM",10000000,1000,73,69,78,78,55,63,Senior,Good Player
J. Boga,77,80,25,Atalanta,Côte d'Ivoire,"LW,CF,LM",14000000,47000,85,73,72,81,37,63,Adult,Good Player
A. Bakasetas,77,77,29,Trabzonspor,Greece,"CAM,CM",10500000,38000,71,78,77,76,56,74,Adult,Good Player
R. Saïss,77,77,32,Beşiktaş JK,Morocco,"CB,CDM",7000000,44000,61,56,70,66,77,79,Senior,Good Player
A. Thomasson,77,77,28,RC Strasbourg Alsace,France,"CM,CAM",10500000,28000,69,72,77,77,65,70,Adult,Good Player
H. Mukhtar,77,78,27,Nashville SC,Germany,"CF,ST,CAM",12500000,11000,80,74,77,78,45,64,Adult,Good Player
F. Schär,77,77,30,Newcastle United,Switzerland,CB,8500000,69000,51,67,70,67,78,74,Senior,Good Player
S. Al Dawsari,77,77,30,Al Hilal,Saudi Arabia,"LW,RW",10000000,42000,84,73,69,81,52,79,Senior,Good Player
K. Mbabu,77,77,27,Fulham,Switzerland,RB,10000000,50000,83,51,66,71,73,81,Adult,Good Player
Paulo Oliveira,77,77,30,SC Braga,Portugal,CB,8500000,15000,60,35,51,61,79,76,Senior,Good Player
Emerson,77,77,27,West Ham United,Italy,LB,10000000,56000,74,63,75,78,73,63,Adult,Good Player
M. Wolf,77,77,27,Borussia Dortmund,Germany,"RM,RB",11000000,42000,83,71,71,74,66,77,Adult,Good Player
Hwang Hee Chan,77,78,26,Wolverhampton Wanderers,Korea Republic,"LW,ST",12500000,77000,81,75,70,78,28,70,Adult,Good Player
G. Castrovilli,77,81,25,Fiorentina,Italy,CM,14500000,47000,74,65,75,82,66,68,Adult,Good Player
J. Butez,77,80,27,Royal Antwerp FC,France,GK,10500000,17000,76,76,77,79,45,75,Adult,Good Player
H. Diallo,77,78,27,RC Strasbourg Alsace,Senegal,ST,12500000,30000,71,76,59,72,23,73,Adult,Good Player
İ. Kahveci,77,78,26,Fenerbahçe SK,Turkey,"CAM,CM,RM",12500000,60000,74,71,79,80,58,65,Adult,Good Player
A. Diallo,77,79,26,RB Leipzig,Senegal,"CB,LB",11500000,61000,72,39,71,74,77,76,Adult,Good Player
K. Iheanacho,77,79,25,Leicester City,Nigeria,ST,13500000,74000,73,79,70,77,38,70,Adult,Good Player
S. Mavididi,77,81,24,Montpellier Hérault SC,England,"LM,ST",15000000,22000,88,76,69,77,28,68,Adult,Good Player
B. Godfrey,77,85,24,Everton,England,"CB,LB",22000000,31000,82,44,61,65,76,80,Adult,Good Player
O. Boscagli,77,82,24,PSV,France,"CB,LB,CDM",14500000,15000,73,49,74,74,77,75,Adult,Good Player
I. Meslier,77,84,22,Leeds United,France,GK,18500000,25000,79,76,73,81,38,72,Young,Good Player
O. Edouard,76,82,24,Crystal Palace,France,"ST,LW",12000000,46000,79,75,68,79,45,75,Adult,Good Player
Jairzinho Aníbal,76,76,30,RB Bragantino,Brazil,"CDM,CM",6500000,16000,67,62,66,65,74,78,Senior,Good Player
Simão Acunha,76,76,34,Clube Atlético Mineiro,Brazil,"CAM,CF",3500000,33000,77,68,77,77,36,62,Senior,Good Player
T. Hübers,76,79,25,1. FC Köln,Germany,CB,9000000,23000,80,39,56,58,78,73,Adult,Good Player
J. Mæhle,76,79,25,Atalanta,Denmark,"RWB,RM,LM",9000000,37000,85,56,69,72,68,78,Adult,Good Player
Jota,76,83,23,Celtic,Portugal,"LW,RW",15000000,46000,86,71,72,79,37,61,Adult,Good Player
Florentino,76,85,22,SL Benfica,Portugal,"CDM,CM",16000000,11000,56,44,62,68,77,72,Young,Good Player
Evander,76,81,24,FC Midtjylland,Brazil,"CM,CAM",11500000,24000,73,71,76,80,67,69,Adult,Good Player
R. Sallai,76,77,25,Sport-Club Freiburg,Hungary,"RM,CF",9000000,26000,75,70,71,78,37,65,Adult,Good Player
Y. Herrera,76,81,24,Girona FC,Venezuela,"CM,CDM,CAM",11500000,80000,62,70,72,74,77,78,Adult,Good Player
A. Afif,76,78,25,Free agent,Qatar,"LW,CF,CAM",0,0,87,71,72,77,32,54,Adult,Good Player
Sequeira,76,76,31,SC Braga,Portugal,"LB,CB",5500000,14000,67,59,68,71,77,75,Senior,Good Player
R. Orsolini,76,79,25,Bologna,Italy,"CF,RW",10000000,32000,79,72,74,81,39,65,Adult,Good Player
J. Sánchez,76,82,24,Ajax,Mexico,RB,11000000,13000,92,50,64,75,71,81,Adult,Good Player
T. Tissoudali,76,76,29,KAA Gent,Morocco,"CF,ST",7500000,25000,76,73,68,82,27,64,Adult,Good Player
R. Aliendro,76,76,31,River Plate,Argentina,"CM,CDM",6000000,17000,77,72,71,80,72,76,Senior,Good Player
T. Adams,76,80,23,Leeds United,United States,"CDM,CM,RWB",10000000,29000,80,48,69,73,73,76,Adult,Good Player
S. Nakajima,76,76,27,Antalyaspor,Japan,"CAM,LW,RW",8000000,26000,86,71,71,82,37,47,Adult,Good Player
F. Zampedri,76,76,34,Universidad Católica,Argentina,ST,3600000,13000,68,78,56,71,29,78,Senior,Good Player
M. Grujić,76,79,26,FC Porto,Serbia,"CM,CDM",9500000,14000,61,71,71,77,73,80,Adult,Good Player
Y. Yazıcı,76,80,25,Trabzonspor,Turkey,"CF,ST,CAM",10500000,32000,66,75,77,79,47,71,Adult,Good Player
T. Henry,76,76,27,Hellas Verona,France,ST,8000000,29000,65,76,65,66,40,82,Adult,Good Player
J. Justin,76,79,24,Leicester City,England,"LB,RB",9500000,52000,81,50,69,72,73,70,Adult,Good Player
R. Perraud,76,80,24,Southampton,France,LB,10000000,38000,72,72,75,75,72,73,Adult,Good Player
T. Chalobah,76,82,22,Chelsea,England,"CB,CDM,CM",11000000,64000,64,47,65,68,76,76,Young,Good Player
Adilson Edrada,76,76,30,Santos,Brazil,CAM,7000000,26000,77,71,70,80,32,55,Senior,Good Player
A. Silva,76,76,32,Club Olimpia,Uruguay,"RM,RW",6000000,1000,87,68,72,75,63,72,Senior,Good Player
F. Müller,76,80,24,VfB Stuttgart,Germany,GK,8500000,15000,75,73,73,80,43,74,Adult,Good Player
W. Hoedt,76,77,28,RSC Anderlecht,Netherlands,CB,7000000,22000,52,46,67,60,76,78,Adult,Good Player
F. Fabra,76,76,31,Boca Juniors,Colombia,LB,5500000,16000,83,68,74,78,69,77,Senior,Good Player
Diego Llorente,76,77,28,Leeds United,Spain,CB,7000000,36000,67,40,63,68,75,78,Adult,Good Player
S. Palacios,76,76,30,Panathinaikos FC,Argentina,"RW,LW",7000000,1000,91,74,69,77,44,68,Senior,Good Player
D. Amartey,76,77,27,Leicester City,Ghana,"CB,CDM",7500000,60000,63,55,65,69,76,76,Adult,Good Player
F. Acheampong,76,76,28,Shenzhen FC,Ghana,"ST,LW,LM",7500000,15000,93,75,68,81,49,76,Adult,Good Player
D. Origi,76,77,27,AC Milan,Belgium,"ST,LW",9000000,56000,79,75,67,75,27,73,Adult,Good Player
Puertas,76,76,30,Granada CF,Spain,"RM,LM",7000000,12000,76,73,71,76,43,74,Senior,Good Player
R. Loftus-Cheek,76,79,26,Chelsea,England,"CM,RM",9500000,81000,65,68,75,78,66,75,Adult,Good Player
A. Hamdallah,76,76,31,Al Ittihad,Morocco,ST,6500000,40000,72,76,70,76,30,71,Senior,Good Player
